Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mg-glutamate well	destPlate1	A1	80
Plate1	Mg-glutamate well	destPlate1	B1	100
Plate1	Mg-glutamate well	destPlate1	C1	20
Plate1	Mg-glutamate well	destPlate1	D1	0
Plate1	Mg-glutamate well	destPlate1	E1	80
Plate1	Mg-glutamate well	destPlate1	F1	20
Plate1	Mg-glutamate well	destPlate1	G1	60
Plate1	Mg-glutamate well	destPlate1	H1	100
Plate1	Mg-glutamate well	destPlate1	I1	80
Plate1	Mg-glutamate well	destPlate1	J1	80
Plate1	Mg-glutamate well	destPlate1	K1	100
Plate1	Mg-glutamate well	destPlate1	L1	80
Plate1	Mg-glutamate well	destPlate1	M1	0
Plate1	Mg-glutamate well	destPlate1	N1	0
Plate1	Mg-glutamate well	destPlate1	O1	80
Plate1	Mg-glutamate well	destPlate1	P1	0
Plate1	Mg-glutamate well	destPlate1	A2	100
Plate1	Mg-glutamate well	destPlate1	B2	20
Plate1	Mg-glutamate well	destPlate1	C2	0
Plate1	Mg-glutamate well	destPlate1	D2	20
Plate1	Mg-glutamate well	destPlate1	E2	80
Plate1	Mg-glutamate well	destPlate1	F2	20
Plate1	Mg-glutamate well	destPlate1	G2	100
Plate1	Mg-glutamate well	destPlate1	H2	60
Plate1	Mg-glutamate well	destPlate1	I2	60
Plate1	Mg-glutamate well	destPlate1	J2	60
Plate1	Mg-glutamate well	destPlate1	K2	100
Plate1	Mg-glutamate well	destPlate1	L2	20
Plate1	Mg-glutamate well	destPlate1	M2	100
Plate1	Mg-glutamate well	destPlate1	N2	20
Plate1	Mg-glutamate well	destPlate1	O2	60
Plate1	Mg-glutamate well	destPlate1	P2	0
Plate1	Mg-glutamate well	destPlate1	A3	60
Plate1	Mg-glutamate well	destPlate1	B3	100
Plate1	Mg-glutamate well	destPlate1	C3	60
Plate1	Mg-glutamate well	destPlate1	D3	20
Plate1	Mg-glutamate well	destPlate1	E3	100
Plate1	Mg-glutamate well	destPlate1	F3	80
Plate1	Mg-glutamate well	destPlate1	G3	100
Plate1	Mg-glutamate well	destPlate1	H3	0
Plate1	Mg-glutamate well	destPlate1	I3	80
Plate1	Mg-glutamate well	destPlate1	J3	20
Plate1	Mg-glutamate well	destPlate1	K3	80
Plate1	Mg-glutamate well	destPlate1	L3	20
Plate1	Mg-glutamate well	destPlate1	M3	80
Plate1	Mg-glutamate well	destPlate1	N3	20
Plate1	Mg-glutamate well	destPlate1	O3	60
Plate1	Mg-glutamate well	destPlate1	P3	60
Plate1	Mg-glutamate well	destPlate1	A4	60
Plate1	Mg-glutamate well	destPlate1	B4	60
Plate1	Mg-glutamate well	destPlate1	C4	80
Plate1	Mg-glutamate well	destPlate1	D4	20
Plate1	Mg-glutamate well	destPlate1	E4	80
Plate1	Mg-glutamate well	destPlate1	F4	100
Plate1	Mg-glutamate well	destPlate1	G4	100
Plate1	Mg-glutamate well	destPlate1	H4	0
Plate1	Mg-glutamate well	destPlate1	I4	80
Plate1	Mg-glutamate well	destPlate1	J4	80
Plate1	Mg-glutamate well	destPlate1	K4	20
Plate1	Mg-glutamate well	destPlate1	L4	0
Plate1	Mg-glutamate well	destPlate1	M4	80
Plate1	Mg-glutamate well	destPlate1	N4	20
Plate1	Mg-glutamate well	destPlate1	O4	100
Plate1	Mg-glutamate well	destPlate1	P4	0
Plate1	Mg-glutamate well	destPlate1	A5	100
Plate1	Mg-glutamate well	destPlate1	B5	60
Plate1	Mg-glutamate well	destPlate1	C5	0
Plate1	Mg-glutamate well	destPlate1	D5	60
Plate1	Mg-glutamate well	destPlate1	E5	20
Plate1	Mg-glutamate well	destPlate1	F5	0
Plate1	Mg-glutamate well	destPlate1	G5	0
Plate1	Mg-glutamate well	destPlate1	H5	20
Plate1	Mg-glutamate well	destPlate1	I5	100
Plate1	Mg-glutamate well	destPlate1	J5	0
Plate1	Mg-glutamate well	destPlate1	K5	100
Plate1	Mg-glutamate well	destPlate1	L5	80
Plate1	Mg-glutamate well	destPlate1	M5	100
Plate1	Mg-glutamate well	destPlate1	N5	60
Plate1	Mg-glutamate well	destPlate1	O5	60
Plate1	Mg-glutamate well	destPlate1	P5	60
Plate1	Mg-glutamate well	destPlate1	A6	60
Plate1	Mg-glutamate well	destPlate1	B6	100
Plate1	Mg-glutamate well	destPlate1	C6	100
Plate1	Mg-glutamate well	destPlate1	D6	0
Plate1	Mg-glutamate well	destPlate1	E6	80
Plate1	Mg-glutamate well	destPlate1	F6	20
Plate1	Mg-glutamate well	destPlate1	G6	0
Plate1	Mg-glutamate well	destPlate1	H6	20
Plate1	Mg-glutamate well	destPlate1	I6	0
Plate1	Mg-glutamate well	destPlate1	J6	0
Plate1	Mg-glutamate well	destPlate1	K6	80
Plate1	Mg-glutamate well	destPlate1	L6	80
Plate1	Mg-glutamate well	destPlate1	M6	20
Plate1	Mg-glutamate well	destPlate1	N6	100
Plate1	Mg-glutamate well	destPlate1	O6	60
Plate1	Mg-glutamate well	destPlate1	P6	60
Plate1	Mg-glutamate well	destPlate1	A7	0
Plate1	Mg-glutamate well	destPlate1	B7	20
Plate1	Mg-glutamate well	destPlate1	C7	0
Plate1	K-glutamate well	destPlate1	A1	54
Plate1	K-glutamate well	destPlate1	B1	0
Plate1	K-glutamate well	destPlate1	C1	216
Plate1	K-glutamate well	destPlate1	D1	54
Plate1	K-glutamate well	destPlate1	E1	162
Plate1	K-glutamate well	destPlate1	F1	270
Plate1	K-glutamate well	destPlate1	G1	0
Plate1	K-glutamate well	destPlate1	H1	54
Plate1	K-glutamate well	destPlate1	I1	0
Plate1	K-glutamate well	destPlate1	J1	0
Plate1	K-glutamate well	destPlate1	K1	54
Plate1	K-glutamate well	destPlate1	L1	54
Plate1	K-glutamate well	destPlate1	M1	216
Plate1	K-glutamate well	destPlate1	N1	216
Plate1	K-glutamate well	destPlate1	O1	270
Plate1	K-glutamate well	destPlate1	P1	0
Plate1	K-glutamate well	destPlate1	A2	216
Plate1	K-glutamate well	destPlate1	B2	54
Plate1	K-glutamate well	destPlate1	C2	216
Plate1	K-glutamate well	destPlate1	D2	0
Plate1	K-glutamate well	destPlate1	E2	270
Plate1	K-glutamate well	destPlate1	F2	0
Plate1	K-glutamate well	destPlate1	G2	270
Plate1	K-glutamate well	destPlate1	H2	162
Plate1	K-glutamate well	destPlate1	I2	162
Plate1	K-glutamate well	destPlate1	J2	54
Plate1	K-glutamate well	destPlate1	K2	270
Plate1	K-glutamate well	destPlate1	L2	162
Plate1	K-glutamate well	destPlate1	M2	0
Plate1	K-glutamate well	destPlate1	N2	270
Plate1	K-glutamate well	destPlate1	O2	0
Plate1	K-glutamate well	destPlate1	P2	162
Plate1	K-glutamate well	destPlate1	A3	270
Plate1	K-glutamate well	destPlate1	B3	270
Plate1	K-glutamate well	destPlate1	C3	0
Plate1	K-glutamate well	destPlate1	D3	0
Plate1	K-glutamate well	destPlate1	E3	270
Plate1	K-glutamate well	destPlate1	F3	54
Plate1	K-glutamate well	destPlate1	G3	0
Plate1	K-glutamate well	destPlate1	H3	162
Plate1	K-glutamate well	destPlate1	I3	162
Plate1	K-glutamate well	destPlate1	J3	270
Plate1	K-glutamate well	destPlate1	K3	162
Plate1	K-glutamate well	destPlate1	L3	270
Plate1	K-glutamate well	destPlate1	M3	216
Plate1	K-glutamate well	destPlate1	N3	0
Plate1	K-glutamate well	destPlate1	O3	216
Plate1	K-glutamate well	destPlate1	P3	162
Plate1	K-glutamate well	destPlate1	A4	216
Plate1	K-glutamate well	destPlate1	B4	216
Plate1	K-glutamate well	destPlate1	C4	0
Plate1	K-glutamate well	destPlate1	D4	54
Plate1	K-glutamate well	destPlate1	E4	162
Plate1	K-glutamate well	destPlate1	F4	54
Plate1	K-glutamate well	destPlate1	G4	216
Plate1	K-glutamate well	destPlate1	H4	162
Plate1	K-glutamate well	destPlate1	I4	162
Plate1	K-glutamate well	destPlate1	J4	270
Plate1	K-glutamate well	destPlate1	K4	270
Plate1	K-glutamate well	destPlate1	L4	54
Plate1	K-glutamate well	destPlate1	M4	270
Plate1	K-glutamate well	destPlate1	N4	162
Plate1	K-glutamate well	destPlate1	O4	270
Plate1	K-glutamate well	destPlate1	P4	216
Plate1	K-glutamate well	destPlate1	A5	216
Plate1	K-glutamate well	destPlate1	B5	0
Plate1	K-glutamate well	destPlate1	C5	54
Plate1	K-glutamate well	destPlate1	D5	54
Plate1	K-glutamate well	destPlate1	E5	216
Plate1	K-glutamate well	destPlate1	F5	216
Plate1	K-glutamate well	destPlate1	G5	270
Plate1	K-glutamate well	destPlate1	H5	162
Plate1	K-glutamate well	destPlate1	I5	162
Plate1	K-glutamate well	destPlate1	J5	0
Plate1	K-glutamate well	destPlate1	K5	216
Plate1	K-glutamate well	destPlate1	L5	0
Plate1	K-glutamate well	destPlate1	M5	0
Plate1	K-glutamate well	destPlate1	N5	216
Plate1	K-glutamate well	destPlate1	O5	54
Plate1	K-glutamate well	destPlate1	P5	162
Plate1	K-glutamate well	destPlate1	A6	270
Plate1	K-glutamate well	destPlate1	B6	162
Plate1	K-glutamate well	destPlate1	C6	54
Plate1	K-glutamate well	destPlate1	D6	54
Plate1	K-glutamate well	destPlate1	E6	54
Plate1	K-glutamate well	destPlate1	F6	54
Plate1	K-glutamate well	destPlate1	G6	270
Plate1	K-glutamate well	destPlate1	H6	216
Plate1	K-glutamate well	destPlate1	I6	162
Plate1	K-glutamate well	destPlate1	J6	54
Plate1	K-glutamate well	destPlate1	K6	0
Plate1	K-glutamate well	destPlate1	L6	162
Plate1	K-glutamate well	destPlate1	M6	270
Plate1	K-glutamate well	destPlate1	N6	216
Plate1	K-glutamate well	destPlate1	O6	216
Plate1	K-glutamate well	destPlate1	P6	0
Plate1	K-glutamate well	destPlate1	A7	270
Plate1	K-glutamate well	destPlate1	B7	54
Plate1	K-glutamate well	destPlate1	C7	216
Plate1	Energy mix well	destPlate1	A1	0
Plate1	Energy mix well	destPlate1	B1	560
Plate1	Energy mix well	destPlate1	C1	560
Plate1	Energy mix well	destPlate1	D1	420
Plate1	Energy mix well	destPlate1	E1	420
Plate1	Energy mix well	destPlate1	F1	140
Plate1	Energy mix well	destPlate1	G1	700
Plate1	Energy mix well	destPlate1	H1	0
Plate1	Energy mix well	destPlate1	I1	140
Plate1	Energy mix well	destPlate1	J1	0
Plate1	Energy mix well	destPlate1	K1	140
Plate1	Energy mix well	destPlate1	L1	140
Plate1	Energy mix well	destPlate1	M1	140
Plate1	Energy mix well	destPlate1	N1	420
Plate1	Energy mix well	destPlate1	O1	0
Plate1	Energy mix well	destPlate1	P1	0
Plate1	Energy mix well	destPlate1	A2	560
Plate1	Energy mix well	destPlate1	B2	140
Plate1	Energy mix well	destPlate1	C2	700
Plate1	Energy mix well	destPlate1	D2	560
Plate1	Energy mix well	destPlate1	E2	140
Plate1	Energy mix well	destPlate1	F2	420
Plate1	Energy mix well	destPlate1	G2	560
Plate1	Energy mix well	destPlate1	H2	420
Plate1	Energy mix well	destPlate1	I2	420
Plate1	Energy mix well	destPlate1	J2	700
Plate1	Energy mix well	destPlate1	K2	420
Plate1	Energy mix well	destPlate1	L2	0
Plate1	Energy mix well	destPlate1	M2	0
Plate1	Energy mix well	destPlate1	N2	140
Plate1	Energy mix well	destPlate1	O2	700
Plate1	Energy mix well	destPlate1	P2	560
Plate1	Energy mix well	destPlate1	A3	420
Plate1	Energy mix well	destPlate1	B3	560
Plate1	Energy mix well	destPlate1	C3	560
Plate1	Energy mix well	destPlate1	D3	560
Plate1	Energy mix well	destPlate1	E3	700
Plate1	Energy mix well	destPlate1	F3	420
Plate1	Energy mix well	destPlate1	G3	420
Plate1	Energy mix well	destPlate1	H3	0
Plate1	Energy mix well	destPlate1	I3	140
Plate1	Energy mix well	destPlate1	J3	0
Plate1	Energy mix well	destPlate1	K3	140
Plate1	Energy mix well	destPlate1	L3	0
Plate1	Energy mix well	destPlate1	M3	700
Plate1	Energy mix well	destPlate1	N3	700
Plate1	Energy mix well	destPlate1	O3	700
Plate1	Energy mix well	destPlate1	P3	0
Plate1	Energy mix well	destPlate1	A4	140
Plate1	Energy mix well	destPlate1	B4	0
Plate1	Energy mix well	destPlate1	C4	0
