Source Plate Name	Source Well	Destination Plate Name	Destination Well	Transfer Volume	Sample ID
Source[1]	Mg-glutamate	Destination[1]	A1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B1	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K1	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F2	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J2	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O2	371.42857142857156	Mg-glutamate
