Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mg-glutamate well	destPlate1	A1	0
Plate1	Mg-glutamate well	destPlate1	B1	60
Plate1	Mg-glutamate well	destPlate1	C1	20
Plate1	Mg-glutamate well	destPlate1	D1	0
Plate1	Mg-glutamate well	destPlate1	E1	0
Plate1	Mg-glutamate well	destPlate1	F1	20
Plate1	Mg-glutamate well	destPlate1	G1	100
Plate1	Mg-glutamate well	destPlate1	H1	0
Plate1	Mg-glutamate well	destPlate1	I1	100
Plate1	Mg-glutamate well	destPlate1	J1	80
Plate1	Mg-glutamate well	destPlate1	K1	100
Plate1	Mg-glutamate well	destPlate1	L1	60
Plate1	Mg-glutamate well	destPlate1	M1	60
Plate1	Mg-glutamate well	destPlate1	N1	60
Plate1	Mg-glutamate well	destPlate1	O1	60
Plate1	Mg-glutamate well	destPlate1	P1	100
Plate1	Mg-glutamate well	destPlate1	A2	100
Plate1	Mg-glutamate well	destPlate1	B2	0
Plate1	Mg-glutamate well	destPlate1	C2	80
Plate1	Mg-glutamate well	destPlate1	D2	20
Plate1	Mg-glutamate well	destPlate1	E2	0
Plate1	Mg-glutamate well	destPlate1	F2	20
Plate1	Mg-glutamate well	destPlate1	G2	0
Plate1	Mg-glutamate well	destPlate1	H2	0
Plate1	Mg-glutamate well	destPlate1	I2	80
Plate1	Mg-glutamate well	destPlate1	J2	80
Plate1	Mg-glutamate well	destPlate1	K2	20
Plate1	Mg-glutamate well	destPlate1	L2	100
Plate1	Mg-glutamate well	destPlate1	M2	60
Plate1	Mg-glutamate well	destPlate1	N2	60
Plate1	Mg-glutamate well	destPlate1	O2	0
Plate1	Mg-glutamate well	destPlate1	P2	20
Plate1	Mg-glutamate well	destPlate1	A3	0
Plate1	Mg-glutamate well	destPlate1	B3	0
Plate1	Mg-glutamate well	destPlate1	C3	60
Plate1	Mg-glutamate well	destPlate1	D3	20
Plate1	Mg-glutamate well	destPlate1	E3	0
Plate1	Mg-glutamate well	destPlate1	F3	0
Plate1	Mg-glutamate well	destPlate1	G3	20
Plate1	Mg-glutamate well	destPlate1	H3	100
Plate1	Mg-glutamate well	destPlate1	I3	0
Plate1	Mg-glutamate well	destPlate1	J3	100
Plate1	Mg-glutamate well	destPlate1	K3	80
Plate1	Mg-glutamate well	destPlate1	L3	100
Plate1	Mg-glutamate well	destPlate1	M3	60
Plate1	Mg-glutamate well	destPlate1	N3	60
Plate1	Mg-glutamate well	destPlate1	O3	60
Plate1	Mg-glutamate well	destPlate1	P3	60
Plate1	Mg-glutamate well	destPlate1	A4	100
Plate1	Mg-glutamate well	destPlate1	B4	100
Plate1	Mg-glutamate well	destPlate1	C4	0
Plate1	Mg-glutamate well	destPlate1	D4	80
Plate1	Mg-glutamate well	destPlate1	E4	20
Plate1	Mg-glutamate well	destPlate1	F4	0
Plate1	Mg-glutamate well	destPlate1	G4	20
Plate1	Mg-glutamate well	destPlate1	H4	0
Plate1	Mg-glutamate well	destPlate1	I4	0
Plate1	Mg-glutamate well	destPlate1	J4	80
Plate1	Mg-glutamate well	destPlate1	K4	80
Plate1	Mg-glutamate well	destPlate1	L4	20
Plate1	Mg-glutamate well	destPlate1	M4	100
Plate1	Mg-glutamate well	destPlate1	N4	60
Plate1	Mg-glutamate well	destPlate1	O4	60
Plate1	Mg-glutamate well	destPlate1	P4	0
Plate1	Mg-glutamate well	destPlate1	A5	20
Plate1	Mg-glutamate well	destPlate1	B5	0
Plate1	Mg-glutamate well	destPlate1	C5	0
Plate1	Mg-glutamate well	destPlate1	D5	60
Plate1	Mg-glutamate well	destPlate1	E5	20
Plate1	Mg-glutamate well	destPlate1	F5	0
Plate1	Mg-glutamate well	destPlate1	G5	0
Plate1	Mg-glutamate well	destPlate1	H5	20
Plate1	Mg-glutamate well	destPlate1	I5	100
Plate1	Mg-glutamate well	destPlate1	J5	0
Plate1	Mg-glutamate well	destPlate1	K5	100
Plate1	Mg-glutamate well	destPlate1	L5	80
Plate1	Mg-glutamate well	destPlate1	M5	100
Plate1	Mg-glutamate well	destPlate1	N5	60
Plate1	Mg-glutamate well	destPlate1	O5	60
Plate1	Mg-glutamate well	destPlate1	P5	60
Plate1	Mg-glutamate well	destPlate1	A6	60
Plate1	Mg-glutamate well	destPlate1	B6	100
Plate1	Mg-glutamate well	destPlate1	C6	100
Plate1	Mg-glutamate well	destPlate1	D6	0
Plate1	Mg-glutamate well	destPlate1	E6	80
Plate1	Mg-glutamate well	destPlate1	F6	20
Plate1	Mg-glutamate well	destPlate1	G6	0
Plate1	Mg-glutamate well	destPlate1	H6	20
Plate1	Mg-glutamate well	destPlate1	I6	0
Plate1	Mg-glutamate well	destPlate1	J6	0
Plate1	Mg-glutamate well	destPlate1	K6	80
Plate1	Mg-glutamate well	destPlate1	L6	80
Plate1	Mg-glutamate well	destPlate1	M6	20
Plate1	Mg-glutamate well	destPlate1	N6	100
Plate1	Mg-glutamate well	destPlate1	O6	60
Plate1	Mg-glutamate well	destPlate1	P6	60
Plate1	Mg-glutamate well	destPlate1	A7	0
Plate1	Mg-glutamate well	destPlate1	B7	20
Plate1	Mg-glutamate well	destPlate1	C7	0
Plate1	Mg-glutamate well	destPlate1	D7	0
Plate1	Mg-glutamate well	destPlate1	E7	60
Plate1	Mg-glutamate well	destPlate1	F7	20
Plate1	Mg-glutamate well	destPlate1	G7	0
Plate1	Mg-glutamate well	destPlate1	H7	0
Plate1	Mg-glutamate well	destPlate1	I7	20
Plate1	Mg-glutamate well	destPlate1	J7	100
Plate1	Mg-glutamate well	destPlate1	K7	0
Plate1	Mg-glutamate well	destPlate1	L7	100
Plate1	Mg-glutamate well	destPlate1	M7	80
Plate1	Mg-glutamate well	destPlate1	N7	100
Plate1	Mg-glutamate well	destPlate1	O7	60
Plate1	Mg-glutamate well	destPlate1	P7	60
Plate1	Mg-glutamate well	destPlate1	A8	60
Plate1	Mg-glutamate well	destPlate1	B8	60
Plate1	Mg-glutamate well	destPlate1	C8	100
Plate1	Mg-glutamate well	destPlate1	D8	100
Plate1	Mg-glutamate well	destPlate1	E8	0
Plate1	Mg-glutamate well	destPlate1	F8	80
Plate1	Mg-glutamate well	destPlate1	G8	20
Plate1	Mg-glutamate well	destPlate1	H8	0
Plate1	Mg-glutamate well	destPlate1	I8	20
Plate1	Mg-glutamate well	destPlate1	J8	0
Plate1	Mg-glutamate well	destPlate1	K8	0
Plate1	Mg-glutamate well	destPlate1	L8	80
Plate1	Mg-glutamate well	destPlate1	M8	80
Plate1	Mg-glutamate well	destPlate1	N8	20
Plate1	Mg-glutamate well	destPlate1	O8	100
Plate1	Mg-glutamate well	destPlate1	P8	60
