Mg-glutamate,K-glutamate,Amino acid,Spermidine,Creatine Phosphate,NTP,GFP11_Col-E1,GFP1-10,PEG-8000,Yield1,Yield2,Yield3
0.0,40.0,1100.0,120.0,40.0,40.0,380.0,760.0,120.0,0.272188282784596,0.312789461354093,0.28694743291705
40.0,0.0,660.0,120.0,300.0,20.0,80.0,900.0,1320.0,0.454488115189851,0.388531473572291,0.392586185147141
0.0,160.0,640.0,80.0,920.0,0.0,20.0,180.0,360.0,0.0108486060802653,0.0138220612351553,0.0100917265862933
60.0,580.0,700.0,40.0,540.0,80.0,140.0,660.0,940.0,0.697554558396857,0.48206015389883,0.935160656683066
40.0,240.0,160.0,120.0,880.0,100.0,720.0,960.0,100.0,0.0224721125948352,0.0117136112162333,0.0224721125948352
0.0,20.0,420.0,100.0,360.0,120.0,500.0,760.0,340.0,0.391234614622191,0.381611432484547,0.350146870663711
0.0,320.0,640.0,20.0,220.0,100.0,340.0,1200.0,360.0,1.18444432430484,1.21509794381071,1.21953109513254
60.0,440.0,120.0,80.0,380.0,60.0,720.0,840.0,420.0,0.597970842118542,0.317925429348903,0.396424645437999
80.0,860.0,680.0,20.0,140.0,0.0,60.0,760.0,1020.0,0.372961381124867,0.357823791245427,0.338361175686147
80.0,340.0,920.0,80.0,360.0,0.0,800.0,120.0,440.0,0.125894289164009,0.109405128759619,0.0710745886720369
40.0,540.0,460.0,100.0,840.0,20.0,860.0,580.0,620.0,0.054315114162657,0.0235533690147952,0.0199311600079292
40.0,800.0,280.0,0.0,820.0,20.0,680.0,1160.0,1300.0,0.0836712259645708,0.0280405831576292,0.0373934511902831
0.0,520.0,720.0,120.0,400.0,60.0,240.0,820.0,460.0,0.585428267647006,0.29775999711665,0.288731506009984
20.0,0.0,420.0,0.0,260.0,80.0,380.0,300.0,1240.0,0.345010902668901,0.243859364581644,0.248076264619488
20.0,120.0,100.0,120.0,640.0,60.0,380.0,800.0,1280.0,2.06247860013336,0.788596348957489,0.529797624840064
40.0,780.0,340.0,80.0,20.0,40.0,760.0,1020.0,0.0,1.10151195689391,0.484168603917752,0.55504496224613
80.0,80.0,640.0,20.0,940.0,0.0,700.0,1040.0,1200.0,0.157791353552828,0.0982141248130328,0.140220936728479
40.0,640.0,300.0,140.0,460.0,80.0,840.0,700.0,380.0,0.944946027283704,0.724802220179849,0.0379340794002631
20.0,440.0,260.0,100.0,180.0,120.0,420.0,600.0,700.0,0.80611270296084,1.17936241913103,1.03625813194933
20.0,900.0,400.0,60.0,580.0,100.0,20.0,20.0,880.0,0.00219855472058532,0.00198230343659333,0.00733452271539529
0.0,100.0,320.0,140.0,280.0,100.0,840.0,460.0,1280.0,0.317384801138923,0.874177794597322,0.947432917049612
60.0,100.0,500.0,80.0,520.0,40.0,180.0,360.0,1120.0,0.0842659169955488,0.30073345227154,0.263862608350904
0.0,540.0,40.0,140.0,280.0,120.0,380.0,1020.0,560.0,1.4640572345065,1.20266349498117,1.0586401398425
80.0,0.0,640.0,100.0,640.0,0.0,360.0,960.0,160.0,0.205366636031068,0.188715287163684,0.171144870339334
60.0,680.0,100.0,60.0,840.0,80.0,240.0,580.0,1080.0,0.172820817790272,0.20531257321007,0.051449784649763
0.0,480.0,240.0,140.0,540.0,100.0,540.0,460.0,1200.0,1.2694851417347,1.33263051666036,1.66895532608892
0.0,80.0,640.0,80.0,500.0,100.0,260.0,820.0,1000.0,0.400533419833847,0.387720531257321,0.310626948514173
40.0,680.0,240.0,100.0,700.0,0.0,620.0,940.0,800.0,0.0923212773242508,0.0932403452812168,0.0751833630678849
60.0,880.0,960.0,0.0,240.0,100.0,40.0,360.0,120.0,0.0459894397289651,0.0982681876340308,0.059126705231479
0.0,800.0,20.0,40.0,480.0,0.0,540.0,1060.0,1080.0,0.194932511578454,0.122326142978141,0.107512930024689
0.0,500.0,240.0,20.0,80.0,80.0,80.0,680.0,1060.0,1.30624786001334,0.876826872826224,1.09426753888018
0.0,20.0,340.0,0.0,620.0,20.0,180.0,960.0,220.0,0.455461245967815,0.377286406804707,0.313708529311059
20.0,400.0,720.0,120.0,40.0,120.0,200.0,720.0,820.0,1.29278621758483,1.25342848389829,1.04804382692689
20.0,320.0,280.0,140.0,360.0,40.0,840.0,740.0,1120.0,0.668576886341929,0.658629327278297,0.977978410913481
0.0,600.0,100.0,40.0,160.0,100.0,60.0,820.0,1180.0,1.81762808383341,1.62727289109946,1.26332198014092
40.0,40.0,760.0,140.0,600.0,140.0,700.0,1000.0,20.0,0.0931322196392208,0.0938350363121948,0.108269809518661
60.0,960.0,400.0,0.0,920.0,20.0,280.0,1240.0,280.0,0.0151736317601052,0.0120920509632193,0.0110648573642573
80.0,700.0,100.0,140.0,920.0,60.0,80.0,420.0,80.0,0.000846984195635332,0.000955109837631332,0.00236074318357932
60.0,420.0,420.0,40.0,120.0,120.0,560.0,240.0,900.0,0.0306355985655332,0.141356255969436,0.484817357769728
40.0,520.0,700.0,100.0,160.0,20.0,740.0,200.0,920.0,0.0856715503414968,0.113405777513471,0.191148114108594
60.0,440.0,680.0,100.0,140.0,60.0,240.0,40.0,820.0,0.049341334630841,0.0942675388801788,0.0902128273053288
0.0,20.0,160.0,60.0,580.0,60.0,500.0,460.0,600.0,0.468220071723343,0.478924510280946,0.377286406804707
40.0,800.0,1020.0,0.0,440.0,100.0,720.0,60.0,1200.0,0.0769133733398209,0.128543367392911,0.127137734046963
40.0,800.0,680.0,140.0,700.0,120.0,540.0,740.0,860.0,0.651168657980573,0.247589699230506,0.506496548989926
80.0,200.0,160.0,80.0,780.0,140.0,680.0,120.0,580.0,0.0193905317979492,0.0115514227532393,0.0158764484330792
60.0,520.0,1000.0,0.0,20.0,80.0,460.0,620.0,80.0,0.446270566398155,0.543583644194554,0.159034798435782
