Mg-glutamate,K-glutamate,Amino acid,Spermidine,Creatine Phosphate,NTP,GFP11_Col-E1,GFP1-10,PEG-8000,Yield1,Yield2,Yield3,Yield4,Yield5,Yield6
60.0,780,720,40,60,120.0,480.0,980.0,1120,1.312475523,0.4137787951,1.857978808,2.149257862,1.653004658,1.937247987
20.0,660,600,60,240,120.0,500.0,1080.0,900,2.262298525,1.432082864,2.408172577,2.25807709,1.59109027,1.847659743
40.0,940,420,60,80,120.0,380.0,860.0,560,2.179276959,2.213986541,1.931150357,3.406776613,2.278715219,2.454608368
60.0,560,1060,40,80,120.0,580.0,1220.0,1300,1.349061298,1.224763472,1.278704038,1.387992314,1.217258698,0.9452106282
20.0,680,1080,40,80,140.0,540.0,880.0,640,1.18442531,1.092491825,0.9555296929,0.9602201769,0.4245669082,1.803569194
80.0,620,1020,60,200,140.0,360.0,1240.0,540,1.984152826,1.807321581,1.727583353,1.81060492,1.261818296,1.146901439
60.0,920,520,80,60,80.0,760.0,1240.0,1220,2.444758352,1.820923984,2.706956405,2.401605899,2.619713403,2.726187389
80.0,760,480,40,140,100.0,780.0,1080.0,820,3.033883137,1.870174066,1.448030509,1.672235643,2.067174392,3.072345106
80.0,960,660,60,60,120.0,680.0,660.0,920,2.065298199,1.273075457,1.102341841,1.319511249,1.988374262,2.485096514
20.0,640,340,100,80,100.0,360.0,960.0,660,1.937717035,2.235093718,1.899724115,2.153948346,2.045129118,2.65864442
80.0,900,840,60,460,140.0,580.0,1060.0,940,2.242129444,1.657695142,1.838747823,1.819047791,1.469137687,0.7064649944
60.0,820,200,40,40,80.0,420.0,920.0,1220,1.160034794,1.996817133,1.512290139,1.59109027,1.603754577,1.728052402
20.0,600,600,100,40,120.0,840.0,720.0,520,1.448968606,1.167539568,0.9391129991,0.7838579798,0.8232580451,1.796064419
20.0,760,900,140,160,60.0,840.0,980.0,1140,2.434908335,1.944752761,2.468210771,1.888936002,1.356566072,2.135655458
40.0,700,680,100,440,140.0,500.0,1120.0,1140,2.303105736,2.402543996,2.266050913,2.293724768,1.470544832,1.65253561
60.0,400,720,140,140,140.0,740.0,1240.0,620,2.925532958,2.004790956,1.448030509,1.668483255,1.549344963,1.831243049
20.0,940,360,80,80,120.0,480.0,540.0,900,2.942887749,1.791842984,1.420356654,0.6182838959,1.170822907,1.645968932
80.0,500,960,20,100,100.0,500.0,1200.0,580,1.862200243,1.377204201,1.973364713,1.428330477,1.780116774,1.823269226
20.0,520,540,140,200,140.0,680.0,1180.0,200,1.923176535,1.605161722,2.181622201,2.507141788,1.859855001,2.508548933
40.0,620,1080,120,220,80.0,480.0,1120.0,900,2.549356144,1.44193288,2.266989009,2.2698033,2.037624343,2.933975829
40.0,880,720,120,260,140.0,660.0,680.0,900,1.440994783,0.839674739,1.751035773,1.438649541,2.131903071,2.261360429
80.0,780,1060,100,80,100.0,860.0,680.0,1000,1.911450325,0.9278558375,1.291837393,1.462101961,2.198038895,2.077962506
40.0,960,780,60,480,120.0,400.0,1180.0,440,0.2993309863,0.8321699647,0.3898573269,0.7505555437,0.5207218295,0.923634402
80.0,480,200,140,120,140.0,460.0,1220.0,980,2.105167313,1.380018492,1.799816806,1.836402581,1.353282733,2.210234153
40.0,700,400,120,40,60.0,660.0,1180.0,620,1.163318133,1.519325865,1.428799525,1.539963995,1.496342494,1.815764452
20.0,880,460,40,340,100.0,700.0,1140.0,460,1.52683064,1.212099166,1.450375751,1.455535284,1.669421352,2.013702875
40.0,760,340,20,40,120.0,400.0,800.0,280,2.12064591,1.656287997,1.946628955,1.624861755,1.511352043,2.070457731
20.0,760,200,20,20,140.0,380.0,840.0,80,0.3692191974,1.949912293,1.873457405,1.375797056,1.92739797,2.193348411
