# KCl; Amino acids; tRNA; Phosphocreatine; Creatine kinase; mRNA; Ribosomes; RRL; Glucose; MgCl2
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;0.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
12.50000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;50.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;200.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;10.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;100.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;100.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;2.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;1.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;0.15000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;500.00000;2000.00000;100.00000;1000.00000;1000.00000;20.00000;0.00000;10.00000;1.50000
125.00000;100.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;500.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;2000.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;100.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;20.00000;1000.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;20.00000;200.00000;1000.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;20.00000;200.00000;200.00000;20.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
25.00000;100.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;10.00000;0.15000
25.00000;100.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;1.50000
25.00000;100.00000;400.00000;20.00000;200.00000;200.00000;4.00000;0.00000;2.00000;0.15000
75.00000;100.00000;800.00000;40.00000;200.00000;600.00000;8.00000;0.00000;6.00000;0.15000
25.00000;200.00000;1200.00000;60.00000;200.00000;200.00000;8.00000;0.00000;4.00000;0.75000
50.00000;100.00000;400.00000;40.00000;600.00000;600.00000;4.00000;0.00000;6.00000;0.45000
50.00000;100.00000;1200.00000;40.00000;600.00000;600.00000;12.00000;0.00000;6.00000;0.75000
25.00000;200.00000;800.00000;20.00000;600.00000;600.00000;8.00000;0.00000;6.00000;0.75000
25.00000;100.00000;1200.00000;40.00000;400.00000;600.00000;4.00000;0.00000;2.00000;0.15000
50.00000;200.00000;800.00000;40.00000;400.00000;400.00000;8.00000;0.00000;2.00000;0.75000
25.00000;300.00000;1200.00000;60.00000;200.00000;400.00000;4.00000;0.00000;6.00000;0.15000
50.00000;200.00000;1200.00000;20.00000;200.00000;600.00000;8.00000;0.00000;4.00000;0.15000
25.00000;200.00000;800.00000;20.00000;400.00000;600.00000;4.00000;0.00000;4.00000;0.15000
