,Mg-glutamate,k-glutamate,Sodium oxalate,3-PGA,NTP,NAD,Folinic acid,Spermidine,tRNA,Amino acids,Extract,HEPES,GOI-DNA,GFP-DNA
0,2.08,71.0,0.42000000000000004,12.0,0.6000000000000001,12.0,0.08000000000000002,1.04,0.8,0.2,4.0,12.0,50.0,50.0
1,8.32,213.00000000000003,1.6800000000000002,18.000000000000004,1.2000000000000002,12.0,0.12000000000000002,0.52,0.0,0.0,4.0,6.0,50.0,50.0
2,0.0,142.0,0.8400000000000001,24.0,1.2000000000000002,24.0,0.08000000000000002,1.04,0.0,0.30000000000000004,6.000000000000001,24.0,50.0,50.0
3,6.240000000000001,0.0,0.42000000000000004,12.0,0.6000000000000001,18.000000000000004,0.04000000000000001,1.04,1.6,0.4,4.0,12.0,50.0,50.0
4,8.32,142.0,1.6800000000000002,6.0,0.0,24.0,0.12000000000000002,0.52,0.4,0.0,6.000000000000001,12.0,50.0,50.0
5,0.0,71.0,0.42000000000000004,24.0,0.30000000000000004,24.0,0.08000000000000002,0.26,1.2000000000000002,0.0,0.0,18.000000000000004,50.0,50.0
6,0.0,284.0,1.6800000000000002,6.0,0.0,24.0,0.12000000000000002,1.04,0.8,0.1,0.0,24.0,50.0,50.0
7,4.16,284.0,1.6800000000000002,6.0,1.2000000000000002,12.0,0.0,0.26,0.4,0.4,6.000000000000001,12.0,50.0,50.0
8,0.0,142.0,1.6800000000000002,0.0,0.6000000000000001,24.0,0.0,0.7800000000000001,0.8,0.4,4.0,0.0,50.0,50.0
9,2.08,71.0,0.0,0.0,0.6000000000000001,18.000000000000004,0.12000000000000002,0.26,0.8,0.30000000000000004,4.0,18.000000000000004,50.0,50.0
10,4.16,213.00000000000003,1.6800000000000002,24.0,0.9000000000000001,12.0,0.0,0.7800000000000001,0.0,0.0,8.0,24.0,50.0,50.0
11,8.32,71.0,1.6800000000000002,24.0,0.9000000000000001,12.0,0.0,0.0,1.2000000000000002,0.1,8.0,18.000000000000004,50.0,50.0
12,4.16,284.0,0.0,18.000000000000004,0.6000000000000001,6.0,0.04000000000000001,0.26,1.2000000000000002,0.30000000000000004,2.0,6.0,50.0,50.0
13,6.240000000000001,284.0,0.42000000000000004,24.0,0.0,6.0,0.16000000000000003,0.26,0.8,0.2,0.0,12.0,50.0,50.0
14,2.08,284.0,0.42000000000000004,0.0,1.2000000000000002,18.000000000000004,0.0,0.0,0.8,0.4,0.0,0.0,50.0,50.0
15,2.08,0.0,0.0,24.0,0.30000000000000004,18.000000000000004,0.08000000000000002,0.0,0.4,0.1,0.0,24.0,50.0,50.0
16,4.16,142.0,0.8400000000000001,6.0,0.9000000000000001,18.000000000000004,0.16000000000000003,0.26,1.2000000000000002,0.30000000000000004,2.0,12.0,50.0,50.0
17,0.0,213.00000000000003,0.8400000000000001,18.000000000000004,0.9000000000000001,6.0,0.0,0.26,0.4,0.0,2.0,24.0,50.0,50.0
18,2.08,284.0,1.6800000000000002,12.0,1.2000000000000002,24.0,0.0,0.0,0.8,0.0,8.0,24.0,50.0,50.0
19,8.32,71.0,1.6800000000000002,6.0,0.0,6.0,0.04000000000000001,0.52,0.4,0.30000000000000004,6.000000000000001,6.0,50.0,50.0
